id,type,front_side,back_side,notes,box,due,last_seen,right,wrong,added,flag,exclude
38,vocab,langzaam,"**slow**

_Rijd niet te langzaam._
Don't drive too slowly.",adjective/adverb,,,,,,,,
39,vocab,moeilijk,"**difficult**

_Nederlands is niet moeilijk._
Dutch is not difficult.",adjective,,,,,,,,
40,vocab,makkelijk,"**easy**

_Dat is makkelijk._
That is easy.",also: gemakkelijk,,,,,,,,
41,vocab,zijn,"**to be**

_Ik ben moe._
I am tired.",irregular: ben/bent/is/zijn,,,,,,,,
42,vocab,hebben,"**to have**

_Wij hebben een hond._
We have a dog.",irregular: heb/hebt/heeft/hebben,,,,,,,,
43,vocab,gaan,"**to go**

_Ik ga naar huis._
I'm going home.",irregular: ga/gaat/gaan,,,,,,,,
44,vocab,komen,"**to come**

_Zij komt morgen._
She comes tomorrow.",irregular: kom/komt/komen,,,,,,,,
45,vocab,doen,"**to do**

_Wat doe je?_
What are you doing?",irregular: doe/doet/doen,,,,,,,,
46,vocab,maken,"**to make**

_Ik maak het eten._
I'm making the food.",regular verb,,,,,,,,
47,vocab,zeggen,"**to say**

_Wat zeg je?_
What are you saying?",zei (past),,,,,,,,
48,vocab,zien,"**to see**

_Ik zie je later._
I'll see you later.",zag (past),,,,,,,,
49,vocab,weten,"**to know (a fact)**

_Ik weet het niet._
I don't know.",vs kennen (know a person),,,,,,,,
50,vocab,kennen,"**to know (be familiar)**

_Ik ken hem niet._
I don't know him.",vs weten (know a fact),,,,,,,,
51,vocab,willen,"**to want**

_Ik wil naar huis._
I want to go home.",modal verb,,,,,,,,
52,vocab,kunnen,"**to be able to / can**

_Kun je me helpen?_
Can you help me?",modal verb,,,,,,,,
53,vocab,moeten,"**to must / have to**

_Ik moet werken._
I have to work.",modal verb,,,,,,,,
54,vocab,mogen,"**to be allowed to / may**

_Mag ik binnenkomen?_
May I come in?",modal verb,,,,,,,,
55,vocab,eten,"**to eat**

_Wij eten om zes uur._
We eat at six o'clock.",at (past),,,,,,,,
56,vocab,drinken,"**to drink**

_Ik drink thee._
I drink tea.",dronk (past),,,,,,,,
57,vocab,werken,"**to work**

_Ik werk in Amsterdam._
I work in Amsterdam.",regular verb,,,,,,,,
58,vocab,wonen,"**to live / reside**

_Waar woon je?_
Where do you live?",regular verb,,,,,,,,
59,vocab,spreken,"**to speak**

_Spreek je Nederlands?_
Do you speak Dutch?",sprak (past),,,,,,,,
60,vocab,begrijpen,"**to understand**

_Ik begrijp het niet._
I don't understand.",begreep (past),,,,,,,,
61,vocab,vandaag,"**today**

_Wat doen we vandaag?_
What are we doing today?",time word,,,,,,,,
62,vocab,morgen,"**tomorrow**

_Tot morgen!_
See you tomorrow!",also means 'morning',,,,,,,,
63,vocab,gisteren,"**yesterday**

_Ik was gisteren ziek._
I was sick yesterday.",time word,,,,,,,,
64,vocab,nu,"**now**

_Ik kom nu._
I'm coming now.",time word,,,,,,,,
65,vocab,altijd,"**always**

_Hij is altijd te laat._
He is always late.",frequency,,,,,,,,
66,vocab,nooit,"**never**

_Ik drink nooit alcohol._
I never drink alcohol.",frequency,,,,,,,,
67,vocab,soms,"**sometimes**

_Soms regent het._
Sometimes it rains.",frequency,,,,,,,,
68,vocab,vaak,"**often**

_Ik ga vaak naar de markt._
I often go to the market.",frequency,,,,,,,,
69,vocab,hier,"**here**

_Kom hier!_
Come here!",place word,,,,,,,,
70,vocab,daar,"**there**

_Daar is het station._
There is the station.",place word,,,,,,,,
71,grammar,de / het,"**definite article 'the'**

_het huis / de man_
the house / the man","het for neuter nouns, de for common nouns; when unsure, guess de (majority)",,,,,,,,
72,grammar,een,"**indefinite article 'a/an'**

_een boek / een appel_
a book / an apple",same for all nouns; no gender distinction,,,,,,,,
73,grammar,word order: verb second,"**the finite verb comes in position 2**

_Morgen ga ik naar Utrecht._
Tomorrow I go to Utrecht.","'Morgen' fills slot 1, so subject 'ik' moves after the verb (inversion)",,,,,,,,
74,grammar,negation: niet,"**'not' negates verbs/adjectives**

_Ik ken hem niet._
I don't know him.",niet usually goes at the end or before the word it negates,,,,,,,,
75,grammar,negation: geen,"**'no / not a' negates indefinite nouns**

_Ik heb geen tijd._
I have no time.",use geen (not niet) before a noun with een or no article,,,,,,,,
76,grammar,plural -en,"**most nouns add -en**

_boek -> boeken; huis -> huizen_
book -> books","watch spelling changes: s->z, f->v, vowel doubling",,,,,,,,
77,grammar,plural -s,"**nouns ending in -el/-en/-er/-je take -s**

_tafel -> tafels; meisje -> meisjes_
table -> tables",also many loanwords take -s,,,,,,,,
78,grammar,adjective + e,"**adjective gets -e before a noun**

_de grote man / een groot huis_
the big man / a big house",no -e with het-word + een (een groot huis); otherwise add -e,,,,,,,,
79,grammar,er is / er zijn,"**'there is / there are'**

_Er is een probleem._
There is a problem.",'er' as dummy subject for existence,,,,,,,,
80,grammar,modal + infinitief,"**modal verb sends the main verb to the end**

_Ik wil een koffie drinken._
I want to drink a coffee.",infinitive (drinken) goes to the end of the clause,,,,,,,,
